Date,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
2021-05-24,322.1023254394531,323.4120547384483,315.5537092244351,315.73230041612777,16445400,,,,,,,,,
2021-05-25,325.2376708984375,326.616831914703,322.2709319498647,324.533177513485,16437000,100.0,,,,,,,,
2021-05-26,325.10870361328125,327.2617901142244,323.2830342689029,325.79333340241755,9686900,99.68458755680746,,,,,,,,
2021-05-27,330.15911865234375,331.1810975830294,324.2157680993238,325.44610343491735,20477700,99.72161749266533,,,,,,,,
2021-05-28,326.1703796386719,330.27812809646827,325.77346998443005,328.42269355471336,12037400,90.66801391076442,,,,,,,,
2021-06-01,326.5672912597656,328.839469050858,324.0966889019142,327.57933830612393,11765900,90.75793141102682,,,,,,,,
2021-06-02,326.58709716796875,329.2859193445906,324.5729047910016,327.8075307847348,11654300,90.76271440841414,,,,,,,,
2021-06-03,323.5013732910156,324.8309360567853,320.96130856238705,323.2433880314024,12610800,83.51129296261686,,,,,,,,
2021-06-04,327.7777404785156,329.87129645914183,322.6479832868195,323.3623782282559,13289400,85.2679300733604,,,,,,,,
2021-06-07,333.9592590332031,335.0606319370068,326.36883062034224,326.91456629914944,20136700,87.36360334149819,,,,,,,,
2021-06-08,331.0818786621094,335.6659013676434,329.6530884318181,334.0783835828405,14580500,81.54843594639712,,,,,,,,
2021-06-09,327.6784973144531,334.1774834081034,327.43044394782595,333.1257395560005,13727900,75.17460069859193,,,,,,,,
2021-06-10,329.871337890625,331.33982497689396,325.9917789291626,328.2143580705369,13240200,76.45170339756986,,,,,,,,
2021-06-11,328.6806640625,330.2384162938498,326.3687895778356,329.99036291102897,13587900,74.21907946479075,,,,,,,,
2021-06-14,334.14776611328125,334.1973949616918,327.24196787486557,329.3156906835293,12250800,77.4721744255941,,,,,,,,
2021-06-15,334.1279296875,337.27326012162166,332.42132108487635,334.3660512618339,15795200,77.43399574502646,,,,,,,,
2021-06-16,328.5021057128906,334.9217297045753,326.16049586366273,334.07837226495525,17232200,67.30371243493478,,,,,,,,
2021-06-17,333.88983154296875,335.348386848026,327.5793368606947,327.9166858746589,17794100,71.1908065187295,,,,,,,,
2021-06-18,327.0931701660156,333.53262735380366,326.43830549404345,331.92524601348964,23039500,61.29156053088139,,,,,,,,
2021-06-21,329.7026672363281,330.3277666521811,325.0987815754126,328.51199879851725,11337500,63.39607411983234,,,,321.5029227934136,328.5973403930665,335.6917579927194,4.318000621165463,0.5779011686114819
2021-06-22,336.39019775390625,337.2732824504515,330.01027115286735,330.0995667491543,15345300,68.17191861856514,,,,322.094687565865,329.31173400878913,336.52878045171326,4.383109192660296,0.9903989326587415
2021-06-23,337.9381103515625,340.74609249398463,335.5667350039684,336.70777487147,14817800,69.17445158738458,,,,322.0372856096402,329.94675598144534,337.85622635325046,4.794391960774374,1.0051763262559228
2021-06-24,340.5079040527344,342.2145128968667,339.1287426996055,339.18827310161333,12329100,70.81784690092685,,,,321.85006640679,330.716716003418,339.583365600046,5.3620813025588765,1.0521357274026006
2021-06-25,338.7119445800781,341.4405319220191,337.0351012093616,339.9224463575193,14594400,68.08590534462282,,,,321.59241365411907,331.1443572998047,340.69630094549035,5.76905113139989,0.8961281368997343
2021-06-28,352.8708190917969,355.35135280958326,339.10879259035784,339.79342231886307,29156100,75.95971868420781,,,,319.1413351873705,332.47937927246096,345.81742335755143,8.023381248050384,1.2644089226744222
2021-06-29,349.15008544921875,353.9622975602913,346.3321719592447,353.49595592074894,21417300,71.00225800372705,6.955369332113094,,,318.6524304476388,333.60851898193357,348.56460751622836,8.966250969810956,1.0195732303819902
2021-06-30,345.00262451171875,350.17207980061676,344.4668509038547,349.42791950973475,15107500,65.84369728420225,6.93631692868405,,,319.13229995300054,334.52929534912107,349.9262907452416,9.205170136177124,0.8401095114062503
2021-07-01,351.630615234375,351.9084338493456,343.80203488402134,344.1195505239757,17137000,69.63985695335164,7.37107208987112,,,319.6660061550999,335.9357574462891,352.2055087374782,9.68622775668079,0.9823324434155746
2021-07-02,351.9382019042969,353.66464400562825,349.87438050780213,352.3350813174818,11521300,69.80756045243855,7.652228237235136,,,319.86777691911954,337.14378051757814,354.41978411603674,10.24844864225983,0.9281783487252435
2021-07-06,350.0331115722656,355.9963249803974,346.46113656672946,353.7241473646603,13488500,67.32694213159724,7.6333293719339395,,,319.82065864941444,337.9474731445313,356.0742876396481,10.727592857227531,0.8333635490943566
2021-07-07,347.7609558105469,353.71423776723833,347.2747808070036,352.49383434528966,14218900,64.38813851418367,7.350278469444788,,,320.45100855851535,338.78142700195315,357.11184544539094,10.82138333594782,0.7449351834575374
2021-07-08,342.9586181640625,345.61774329354535,339.89268183283735,343.03801220730537,14406500,58.569121091599925,6.661658622824177,,,321.90266255439377,339.5454330444336,357.1882035344734,10.391993985518312,0.5967304177525806
2021-07-09,347.6915283203125,347.97924848366796,342.58160368473915,342.63123253632193,13018700,62.195304637574424,6.423779397932492,,,323.0527677861515,340.436442565918,357.82011734568454,10.21258161949014,0.708675261310081
2021-07-12,350.41015625,351.43213503991996,346.91757530230257,348.4951912820845,10018600,64.13698878849587,6.38107192669122,-0.6594952262787821,7.040567152970002,324.52086898954053,341.52291717529295,358.52496536104536,9.956607495845322,0.7613578957550095
2021-07-13,349.34844970703125,355.6986100896785,346.0840587937821,348.76304737206374,11456000,62.78086436822761,6.190198349764614,-0.6802950425643113,6.8704933923289255,325.31006977066295,342.28295135498047,359.255832939298,9.917456605494209,0.7081408014588139
2021-07-14,344.9232482910156,352.43431315647945,344.0302620301716,351.7992818634606,13894200,57.338924422591624,5.617102433233811,-1.0027127672760923,6.619815200509903,326.26014874939625,342.8227172851563,359.3852858209163,9.662468500874436,0.56341199438131
2021-07-15,341.77789306640625,346.5107713852772,337.57091703181555,346.5107713852772,14781600,53.77115206495712,4.853171569792266,-1.4133149045741096,6.266486474366376,328.33663690362715,343.48650665283196,358.6363764020368,8.821231376356254,0.44360962784794256
2021-07-16,338.5036315917969,343.2960104688672,337.4915845124047,342.2244329895084,11026100,50.26491793032287,3.9381487919727647,-1.8626701459148896,5.800818937887654,329.0497845712655,343.71719665527337,358.38460873928125,8.534581467984196,0.32227386011875503
2021-07-19,334.326416015625,337.1442992705485,331.9351773815617,334.9415836605786,14372300,46.132041154496825,2.843146241542456,-2.3661381570761586,5.209284398618615,330.8513425406148,344.0788589477539,357.30637535489296,7.688653960078148,0.13135774577964876
2021-07-20,338.999755859375,340.775826962842,331.89550172546774,336.1620087686987,11024300,50.987390295679184,2.3256397722844895,-2.306915701067301,4.632555473351791,332.8827595392,344.5437133789062,356.2046672186124,6.768925617796593,0.26228541868274496
2021-07-21,343.5341796875,343.8218998752074,338.59294428116044,338.84099772019425,9279700,55.20617643493121,2.2554033878185464,-1.901721668426596,4.1571250562451425,333.87097924603717,344.900912475586,355.9308457051348,6.396001187923548,0.4380443761697237
2021-07-22,348.4554748535156,348.80275564782727,342.5220269951363,343.9805821072819,12385400,59.300744836606334,2.5672542293257266,-1.271896661535533,3.8391508908612595,334.7990530041899,345.4267807006836,356.0545083971773,6.153389540287416,0.6424902029542616
2021-07-23,366.91070556640625,372.4075475574417,354.4088071301203,358.09984323454836,33694300,70.27429046562064,4.254537489890083,0.3323092792230584,3.9222282106670248,332.68679339260535,346.74692077636723,360.8070481601291,8.109734530464593,1.21705555147837
